run_id,candidate_hash,overrides_hash,status,fold_index,seed,macro_f1,val_loss,best_val_macro_f1,overfit_gap,generalization_ratio,selection_score_proxy,best_epoch,stop_epoch,early_stopped,elapsed_sec,optimizer.lr,optimizer.weight_decay,augmentation.mix,train.label_smoothing,train.class_weight_mode,scheduler.name,preprocess.target_size,model.backbone,train.batch_size,train.grad_accum_steps,trial_dir
run_id=30,389592b2bf,ca5739bccc,completed,0,42,0.8454576821489469,0.602545114500182,0.9514797593452659,0.10602207719631895,0.888571379312078,,6.0,8.0,True,186.8839031989919,0.0001,0.01,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=30
run_id=31,389592b2bf,67106b4545,completed,1,42,0.9307166723234325,0.44709521319184986,0.9624146683845162,0.0316979960610837,0.967064097106613,,7.0,9.0,True,209.70079883397557,0.0001,0.01,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=31
run_id=32,4e564b08b4,21402b0646,completed,0,42,0.9341148065396947,0.19433585820453508,0.9437328232131091,0.009618016673414442,0.9898085385642642,,3.0,5.0,True,115.89005834399723,0.00013,0.005,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=32
run_id=33,4e564b08b4,344567e097,completed,1,42,0.9399338369659711,0.1995366814413241,0.9495433966856341,0.009609559719663041,0.989879809861029,,3.0,5.0,True,113.71232048101956,0.00013,0.005,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=33
run_id=34,bfa5bd0138,b102ecf3d2,completed,0,42,0.9411678486151648,0.18243861304862158,0.9559278982451542,0.014760049629989447,0.9845594530120052,,7.0,9.0,True,207.25553307897644,0.00013,0.005,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=34
run_id=35,bfa5bd0138,dfa67c1e91,completed,1,42,0.9446709870328914,0.15652992576360703,0.9579986455813249,0.01332765854843343,0.9860880194247602,,4.0,6.0,True,139.39035498094745,0.00013,0.005,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=35
run_id=36,0f939c8a1f,8595cd9966,completed,0,42,0.9183687109966698,0.22715283451335772,0.9421391653500576,0.02377045435338776,0.9747696993951465,,3.0,5.0,True,115.77564556105062,0.00013,0.005,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=36
run_id=37,0f939c8a1f,d3161149cf,completed,1,42,0.947117391880663,0.12156281134645854,0.9626168290894223,0.015499437208759237,0.9838986430110299,,6.0,8.0,True,187.3211920519825,0.00013,0.005,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=37
run_id=38,9689841d06,ca35c4f51f,completed,0,42,0.9404647526302979,0.1681096125394106,0.956991427139591,0.016526674509293016,0.982730592938862,,8.0,10.0,True,233.54185603995575,0.00013,0.005,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=38
run_id=39,9689841d06,f3b0346515,completed,1,42,0.9476258352829106,0.13170410439904248,0.9644253040214724,0.016799468738561862,0.9825808503069017,,5.0,7.0,True,161.46123104303842,0.00013,0.005,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=39
